page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  27   308 image     308   256  icc     3   8  image  no       484  0   528   523 10.2K 4.4%
  27   309 smask     308   256  gray    1   8  image  no       484  0   528   523 1633B 2.1%
  27   310 image     308   256  icc     3   8  image  no       485  0   528   523 9227B 3.9%
  27   311 smask     308   256  gray    1   8  image  no       485  0   528   523 1633B 2.1%
  28   312 image    1488  2105  icc     3   8  jpeg   no       493  0   123   124  238K 2.6%
  28   313 image    1704  2348  icc     3   8  image  no       494  0   216   215 22.6K 0.2%
  28   314 smask    1704  2348  gray    1   8  image  no       494  0   216   215 23.6K 0.6%
  28   315 image     652   651  icc     3   8  image  no       495  0   703   702 15.9K 1.3%
  28   316 smask     652   651  gray    1   8  image  no       495  0   703   702 49.6K  12%
  28   317 image     395   394  icc     3   8  image  no       496  0   426   425 22.2K 4.9%
  28   318 smask     395   394  gray    1   8  image  no       496  0   426   425 35.5K  23%
  28   319 image     308   256  icc     3   8  image  no       497  0   528   523 10.2K 4.4%
  28   320 smask     308   256  gray    1   8  image  no       497  0   528   523 1633B 2.1%
  28   321 image     308   256  icc     3   8  image  no       498  0   528   523 9227B 3.9%
  28   322 smask     308   256  gray    1   8  image  no       498  0   528   523 1633B 2.1%
  29   323 image     835   876  icc     3   8  image  no       507  0   165   165 81.8K 3.8%
  29   324 smask     835   876  gray    1   8  image  no       507  0   165   165  212K  30%
  29   325 image    2798   952  icc     3   8  image  no       508  0  1302  1302 13.4K 0.2%
  29   326 smask    2798   952  gray    1   8  image  no       508  0  1302  1302 57.6K 2.2%
  29   327 image    2798   952  icc     3   8  image  no       508  0  1302  1302 13.4K 0.2%
  29   328 smask    2798   952  gray    1   8  image  no       508  0  1302  1302 57.6K 2.2%
  29   329 image    2798   952  icc     3   8  image  no       508  0  1302  1302 13.4K 0.2%
  29   330 smask    2798   952  gray    1   8  image  no       508  0  1302  1302 57.6K 2.2%
  29   331 image    2798   952  icc     3   8  image  no       508  0  1302  1302 13.4K 0.2%
  29   332 smask    2798   952  gray    1   8  image  no       508  0  1302  1302 57.6K 2.2%
